date,target_name,target_code,target_amount,target_cost,target_price,target_value,target_pnl,target_return_rate,quote_url,product_variable,product_name,assets_variable,assets_name,industry_variable,industry_name,fetch_status,fetch_note
2026-04-13,药明康德,603259,300.0,29972.0,105.71,31713.0,1741.0,0.0581,https://gu.qq.com/sh603259/gp,1,股票,1,A股,2,医药,ok,105.71 (tencent-api:sh603259)
2026-04-13,恒生科技ETF大成,159740,62200.0,40265.0,0.61,37942.0,-2323.0,-0.0577,https://gu.qq.com/sz159740,2,场内ETF,2,港股,3,科技,ok,0.61 (tencent-api:sz159740)
2026-04-13,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.818,38936.8,-1071.2,-0.0268,https://gu.qq.com/sz159131,2,场内ETF,2,港股,3,科技,ok,0.818 (tencent-api:sz159131)
2026-04-13,A500ETF易方达,159361,10000.0,12060.0,1.248,12480.0,420.0,0.0348,https://gu.qq.com/sz159361,2,场内ETF,1,A股,1,宽基指数,ok,1.248 (tencent-api:sz159361)
2026-04-13,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.744,29760.0,-120.0,-0.004,https://gu.qq.com/sz159928,2,场内ETF,1,A股,4,消费,ok,0.744 (tencent-api:sz159928)
2026-04-13,信澳新能源产业股票,001410,13959.13,45888.0,5.588,78003.61844,32115.61844,0.6999,https://gu.qq.com/jj001410,3,主动基金,1,A股,3,科技,ok,5.588 (tencent-api:jj001410)
2026-04-13,兴全合宜混合,163417,30676.56,40400.0,2.0478,62819.459568,22419.459568,0.5549,https://gu.qq.com/jj163417,3,主动基金,2,港股,3,科技,ok,2.0478 (tencent-api:jj163417)
2026-04-13,易方达亚洲精选股票,118001,21947.58,21000.0,1.531,33601.74498,12601.74498,0.6001,https://gu.qq.com/jj118001,3,主动基金,2,港股,3,科技,ok,1.531 (tencent-api:jj118001)
2026-04-13,工银前沿医疗股票,001717,17089.31,51634.0,3.205,54771.23855,3137.23855,0.0608,https://gu.qq.com/jj001717,3,主动基金,1,A股,2,医药,ok,3.205 (tencent-api:jj001717)
2026-04-13,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7415,41781.353985,-2618.646015,-0.059,https://gu.qq.com/jj005827,3,主动基金,2,港股,4,消费,ok,1.7415 (tencent-api:jj005827)
2026-04-13,cash_total,CASH,1,72081.0,1,72081.0,0,0,,,现金,,现金,,,ok,cash_accounts=2
2026-04-13,__TOTAL__,,,420000.0,,493890.215523,73890.215523,0.1759,,,,,,,,summary,holdings_encoding=gb18030; cash_encoding=gb18030; cashflows_encoding=gb18030; cash_total=72081.0; cost_total=420000.0; cashflow_count=1; success=10; error=0
