日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-06-26,药明康德,603259,600.0,58886.0,118.18,70908.0,12022.0,0.2042,https://gu.qq.com/sh603259/gp,ok,118.18 (tencent-api:sh603259)
2026-06-26,恒生科技ETF大成,159740,88000.0,54463.0,0.534,46992.0,-7471.0,-0.1372,https://gu.qq.com/sz159740,ok,0.534 (tencent-api:sz159740)
2026-06-26,汇添富中证主要消费ETF,159928,100000.0,70054.0,0.603,60300.0,-9754.0,-0.1392,https://gu.qq.com/sz159928,ok,0.603 (tencent-api:sz159928)
2026-06-26,黄金ETF,518880,5500.0,50662.0,8.39,46145.0,-4517.0,-0.0892,https://gu.qq.com/sh518880,ok,8.39 (tencent-api:sh518880)
2026-06-26,信澳新能源产业股票,001410,13959.13,45888.0,8.907,124333.97091,78445.97091,1.7095,https://gu.qq.com/jj001410,ok,8.907 (tencent-api:jj001410)
2026-06-26,兴全合宜混合,163417,30676.56,40400.0,2.2264,68298.293184,27898.293184,0.6906,https://gu.qq.com/sz163417,ok,2.2264 (tencent-api:jj163417)
2026-06-26,易方达亚洲精选股票,118001,29124.5,33380.0,1.722,50152.389,16772.389,0.5025,https://gu.qq.com/jj118001,ok,1.722 (tencent-api:jj118001)
2026-06-26,工银前沿医疗股票,001717,20298.5,61634.0,2.881,58479.9785,-3154.0215,-0.0512,https://gu.qq.com/jj001717,ok,2.881 (tencent-api:jj001717)
2026-06-26,易方达蓝筹精选混合,005827,29782.0,54385.0,1.4936,44482.3952,-9902.6048,-0.1821,https://gu.qq.com/jj005827,ok,1.4936 (tencent-api:jj005827)
2026-06-26,cash_total,CASH,1,21.0,1,21.0,0,0,,ok,cash_accounts=2
2026-06-26,__TOTAL__,,,450000.0,,570113.026794,120113.026794,0.2669,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=21.0; cost_total=450000.0; daily_net_flow=0.0; cashflow_count=4; success=9; error=0
