标的名称,药明康德,恒生科技ETF大成,港股通信息技术ETF华宝,A500ETF易方达,汇添富中证主要消费ETF,东方财富,黄金ETF,信澳新能源产业股票,兴全合宜混合,易方达亚洲精选股票,工银前沿医疗股票,易方达蓝筹精选混合,现金头寸
标的代码,603259,159740,159131,159361,159928,300059,518880,1410,163417,118001,1717,5827,cash
中国大盘,100%,89.47%,,90.35%,84.36%,,,54.48%,68.23%,43.64%,60.16%,87.78%,
中国中盘,,0.70%,99.12%,9.24%,15.16%,100%,,31.67%,18.54%,,22.94%,3.05%,
中国小盘,,,,,,,,8.09%,1.96%,,3.16%,,
美股,,,,0.11%,,,,,1.00%,18.30%,6.10%,,
发达市场,,,,,,,,,3.23%,32.55%,,3.56%,
新兴市场,,,,,,,,,,,,,
国债,,,,,,,,,5.40%,,,,
海外债,,,,,,,,,,,,,
现金,,9.45%,1.24%,0.67%,0.51%,,,6.52%,2.31%,5.91%,7.92%,6.26%,100%
其他,,0.38%,-0.36%,-0.36%,-0.03%,,,-0.77%,-0.67%,-0.40%,-0.28%,-0.65%,
原油,,,,,,,,,,,,,
黄金,,,,,,,100%,,,,,,
商品,,,,,,,,,,,,,
总计,100.00%,100.00%,100.00%,100.01%,100.00%,100.00%,100.00%,99.99%,100.00%,100.00%,100.00%,100.00%,100.00%
