标的名称,药明康德,恒生科技ETF大成,港股通信息技术ETF华宝,A500ETF易方达,汇添富中证主要消费ETF,东方财富,黄金ETF,信澳新能源产业股票,兴全合宜混合,易方达亚洲精选股票,工银前沿医疗股票,易方达蓝筹精选混合,现金头寸
标的代码,603259,159740,159131,159361,159928,300059,518880,1410,163417,118001,1717,5827,cash
基础材料,,,,13.35%,2.93%,,,16.74%,9.65%,,,,
可选消费,,43.42%,,8.07%,,,,4.05%,3.82%,30.70%,0.01%,19.70%,
金融服务,,,,13.45%,,100%,,,0.35%,7.51%,,3.77%,
房地产,,,,0.8%,,,,,2.64%,,,,
通信服务,,27.45%,,2.52%,,,,0.32%,3.92%,20.32%,,16.30%,
能源,,,,2.36%,,,,0.96%,1.52%,10.08%,0.01%,8.54%,
工业,,,,20.25%,,,,17.31%,14.87%,,,,
科技,,26.66%,100%,24.68%,,,,60.12%,39.35%,31.39%,0.14%,0.03%,
必选消费,,,,5.78%,97.07%,,,0.04%,3.41%,,6.43%,41.01%,
医疗保健,100%,2.47%,,6.39%,,,,0.47%,20.45%,,93.39%,10.65%,
公用事业,,,,2.34%,,,,,0.02%,,0.02%,,
总计,100.00%,100.00%,100.00%,99.99%,100.00%,,,100.01%,100.00%,100.00%,100.00%,100.00%,
