日期,总市值,中国大盘市值,中国大盘仓位,中国中盘市值,中国中盘仓位,中国小盘市值,中国小盘仓位,美股市值,美股仓位,发达市场市值,发达市场仓位,新兴市场市值,新兴市场仓位,国债市值,国债仓位,海外债市值,海外债仓位,现金市值,现金仓位,其他市值,其他仓位,原油市值,原油仓位,黄金市值,黄金仓位,商品市值,商品仓位
2026/4/24,514725.0,275293.5,0.5348,120302.3,0.2337,9741.2,0.0189,10289.1,0.02,14976.7,0.0291,0.0,0.0,3500.3,0.0068,0.0,0.0,72497.4,0.1408,-1708.5,-0.0033,0.0,0.0,9826.0,0.0191,0.0,0.0
2026-04-27,518943.2,276768.5,0.5333,122339.4,0.2357,9940.9,0.0192,10382.4,0.02,15121.5,0.0291,0.0,0.0,3515.7,0.0068,0.0,0.0,72699.5,0.1401,-1729.0,-0.0033,0.0,0.0,9897.0,0.0191,0.0,0.0
2026-04-28,517421.6,277619.4,0.5365,120467.2,0.2328,9819.2,0.019,10379.3,0.0201,15149.1,0.0293,0.0,0.0,3488.2,0.0067,0.0,0.0,72472.3,0.1401,-1712.3,-0.0033,0.0,0.0,9732.0,0.0188,0.0,0.0
2026-04-29,521767.0,280744.1,0.5381,121614.1,0.2331,9966.3,0.0191,10292.0,0.0197,15034.5,0.0288,0.0,0.0,3547.8,0.0068,0.0,0.0,72657.2,0.1393,-1733.2,-0.0033,0.0,0.0,9637.0,0.0185,0.0,0.0
2026-04-30,523783.9,281527.0,0.5375,122280.4,0.2335,10104.7,0.0193,10396.0,0.0198,15158.9,0.0289,0.0,0.0,3582.8,0.0068,0.0,0.0,72796.0,0.139,-1747.4,-0.0033,0.0,0.0,9678.0,0.0185,0.0,0.0
2026-05-06,531118.2,284279.1,0.5352,126086.9,0.2374,10365.1,0.0195,10424.2,0.0196,15196.0,0.0286,0.0,0.0,3666.1,0.0069,0.0,0.0,73085.8,0.1376,-1783.6,-0.0034,0.0,0.0,9791.0,0.0184,0.0,0.0
2026-05-07,539722.1,288518.6,0.5346,128495.1,0.2381,10505.6,0.0195,10891.9,0.0202,16014.1,0.0297,0.0,0.0,3693.4,0.0068,0.0,0.0,73500.5,0.1362,-1814.0,-0.0034,0.0,0.0,9909.0,0.0184,0.0,0.0
2026-05-08,533937.9,304889.2,0.571,109367.8,0.2048,10703.8,0.02,13615.8,0.0255,20264.8,0.038,0.0,0.0,3669.6,0.0069,0.0,0.0,63477.4,0.1189,-1938.3,-0.0036,0.0,0.0,9880.0,0.0185,0.0,0.0
2026-05-11,541352.3,319692.5,0.5905,112044.3,0.207,11063.8,0.0204,13671.7,0.0253,20303.4,0.0375,0.0,0.0,3740.1,0.0069,0.0,0.0,53035.5,0.098,-1981.1,-0.0037,0.0,0.0,9774.0,0.0181,0.0,0.0
2026-05-12,541144.0,320016.5,0.5914,111204.7,0.2055,11112.3,0.0205,13753.6,0.0254,20432.8,0.0378,0.0,0.0,3759.7,0.0069,0.0,0.0,53033.9,0.098,-1983.7,-0.0037,0.0,0.0,9806.0,0.0181,0.0,0.0
