日期,总市值,总成本,总收益,收益率
2026/4/13,493890.2,420000.0,73890.2,0.1759
2026/4/14,498861.4,420000.0,78861.4,0.1878
2026/4/15,511123.5,430000.0,81123.5,0.1887
2026/4/16,516510.7,430000.0,86510.7,0.2012
2026/4/17,513296.3,430000.0,83296.3,0.1937
2026/4/20,514901.2,430000.0,84901.2,0.1974
2026/4/21,513904.1,430000.0,83904.1,0.1951
2026/4/22,516382.9,430000.0,86382.9,0.2009
2026/4/23,511571.5,430000.0,81571.5,0.1897
2026/4/24,514725.0,430000.0,84725.0,0.197
2026-04-27,518943.2,430000.0,88943.2,0.2068
2026-04-28,517421.6,430000.0,87421.6,0.2033
2026-04-29,521767.0,430000.0,91767.0,0.2134
2026-04-30,523783.9,430000.0,93783.9,0.2181
2026-05-06,531118.2,430000.0,101118.2,0.2352
2026-05-07,539722.1,430000.0,109722.1,0.2552
2026-05-08,534888.9,430000.0,104888.9,0.2439
