日期,股票成分总市值,基础材料市值,基础材料仓位,可选消费市值,可选消费仓位,金融服务市值,金融服务仓位,房地产市值,房地产仓位,通信服务市值,通信服务仓位,能源市值,能源仓位,工业市值,工业仓位,科技市值,科技仓位,必选消费市值,必选消费仓位,医疗保健市值,医疗保健仓位,公用事业市值,公用事业仓位
2026/4/24,430602.7,21636.0,0.0502,39642.4,0.0921,25621.4,0.0595,1693.2,0.0039,25701.9,0.0597,8729.7,0.0203,25256.3,0.0587,136769.8,0.3176,50869.9,0.1181,94367.5,0.2192,321.4,0.0007
2026-04-27,434552.7,22033.8,0.0507,39918.6,0.0919,25917.7,0.0596,1700.3,0.0039,25811.7,0.0594,8752.8,0.0201,25689.1,0.0591,139455.1,0.3209,50416.2,0.116,94542.3,0.2176,321.9,0.0007
2026-04-28,433434.1,21787.0,0.0503,39520.1,0.0912,26090.2,0.0602,1687.2,0.0039,25575.6,0.059,8733.8,0.0202,25404.5,0.0586,136934.1,0.3159,50343.3,0.1161,97045.3,0.2239,319.9,0.0007
2026-04-29,437650.9,22174.5,0.0507,39787.7,0.0909,26204.4,0.0599,1715.9,0.0039,25739.1,0.0588,8766.1,0.02,25852.6,0.0591,138472.5,0.3164,51121.0,0.1168,97499.3,0.2228,324.7,0.0007
2026-04-30,439467.0,22452.1,0.0511,39878.3,0.0907,26316.4,0.0599,1731.9,0.0039,25761.2,0.0586,8782.8,0.02,26167.2,0.0595,139503.5,0.3174,51053.3,0.1162,97502.1,0.2219,325.2,0.0007
2026-05-06,446351.3,23052.6,0.0516,40210.6,0.0901,26830.9,0.0601,1771.6,0.004,25915.4,0.0581,8806.5,0.0197,26879.8,0.0602,143950.9,0.3225,50797.7,0.1138,97811.4,0.2191,331.1,0.0007
2026-05-07,454425.2,23347.0,0.0514,41461.6,0.0912,26909.0,0.0592,1784.9,0.0039,26708.6,0.0588,9081.8,0.02,27217.9,0.0599,147881.7,0.3254,50816.6,0.1118,98889.5,0.2176,333.8,0.0007
2026-05-08,458841.5,23170.2,0.0505,46634.8,0.1016,7364.6,0.0161,1773.6,0.0039,30440.5,0.0663,10985.2,0.0239,27017.2,0.0589,150540.2,0.3281,54804.4,0.1194,105784.1,0.2305,333.9,0.0007
2026-05-11,476775.6,23936.1,0.0502,46789.6,0.0981,7390.0,0.0155,1807.6,0.0038,30455.1,0.0639,11017.8,0.0231,27881.7,0.0585,154331.2,0.3237,54832.8,0.115,118001.5,0.2475,339.9,0.0007
2026-05-12,476519.8,24028.9,0.0504,46736.5,0.0981,7401.1,0.0155,1816.3,0.0038,30405.3,0.0638,11031.4,0.0231,28005.3,0.0588,153788.3,0.3227,54257.6,0.1139,118717.6,0.2491,339.3,0.0007
2026-05-13,478777.1,24531.3,0.0512,46921.9,0.098,7421.4,0.0155,1829.3,0.0038,30465.9,0.0636,11067.1,0.0231,28563.3,0.0597,156107.3,0.3261,53999.7,0.1128,117535.2,0.2455,342.5,0.0007
2026-05-14,472101.0,24222.0,0.0513,46839.7,0.0992,7399.0,0.0157,1814.5,0.0038,30436.9,0.0645,11047.5,0.0234,28202.8,0.0597,154621.9,0.3275,53794.8,0.1139,113393.4,0.2402,336.4,0.0007
2026-05-15,476350.2,24373.1,0.0512,46320.1,0.0972,7370.3,0.0155,1795.6,0.0038,30082.4,0.0632,11006.1,0.0231,28052.1,0.0589,152247.1,0.3196,61895.8,0.1299,112883.5,0.237,332.0,0.0007
2026-05-18,470942.4,24373.5,0.0518,45383.3,0.0964,7201.5,0.0153,1773.0,0.0038,29430.3,0.0625,10771.8,0.0229,28019.6,0.0595,151441.7,0.3216,61170.0,0.1299,111055.8,0.2358,329.7,0.0007
2026-05-19,473668.3,24687.0,0.0521,45567.2,0.0962,7222.9,0.0152,1777.6,0.0038,29518.4,0.0623,10815.6,0.0228,28356.1,0.0599,152539.4,0.322,61326.0,0.1295,111534.6,0.2355,331.7,0.0007
2026-05-20,477555.2,25105.9,0.0526,45489.4,0.0953,7177.3,0.015,1780.9,0.0037,29407.7,0.0616,10772.0,0.0226,28798.6,0.0603,155185.5,0.325,61265.8,0.1283,112247.9,0.235,332.5,0.0007
2026-05-21,470214.2,24175.2,0.0514,44938.8,0.0956,7151.0,0.0152,1738.5,0.0037,29122.9,0.0619,10689.0,0.0227,27762.6,0.059,151034.0,0.3212,60550.6,0.1288,112731.7,0.2397,327.8,0.0007
2026-05-22,488147.1,25206.9,0.0516,45521.5,0.0933,7205.3,0.0148,1772.6,0.0036,29418.4,0.0603,10775.4,0.0221,28604.4,0.0586,156903.7,0.3214,69922.8,0.1432,112493.0,0.2304,331.5,0.0007
2026-05-25,495551.1,25997.8,0.0525,45409.7,0.0916,7167.8,0.0145,1788.4,0.0036,29249.2,0.059,10741.3,0.0217,29463.8,0.0595,163885.6,0.3307,69888.9,0.141,111630.8,0.2253,336.4,0.0007
2026-05-26,493493.7,25835.4,0.0524,45610.3,0.0924,7159.0,0.0145,1781.0,0.0036,29374.1,0.0595,10697.4,0.0217,29286.8,0.0593,161496.9,0.3273,69665.0,0.1412,112258.8,0.2275,337.5,0.0007
2026-05-27,490679.0,25510.3,0.052,45433.2,0.0926,7177.1,0.0146,1773.6,0.0036,29303.4,0.0597,10724.0,0.0219,28925.3,0.0589,160078.9,0.3262,69759.7,0.1422,111667.9,0.2276,334.0,0.0007
2026-05-28,490899.5,25829.5,0.0526,45437.4,0.0926,7175.6,0.0146,1776.1,0.0036,29240.2,0.0596,10720.3,0.0218,29284.2,0.0597,162475.3,0.331,68638.0,0.1398,109997.8,0.2241,333.6,0.0007
2026-05-29,468572.6,25138.1,0.0536,45387.5,0.0969,7174.4,0.0153,1757.6,0.0038,29307.7,0.0625,10704.4,0.0228,28492.5,0.0608,138842.0,0.2963,70157.9,0.1497,111286.8,0.2375,332.1,0.0007
2026-06-01,464079.7,24602.0,0.053,45523.0,0.0981,7174.9,0.0155,1739.3,0.0037,29452.3,0.0635,10701.3,0.0231,27890.9,0.0601,137168.2,0.2956,70168.0,0.1512,109340.5,0.2356,327.3,0.0007
2026-06-02,468309.4,24958.1,0.0533,46580.8,0.0995,7296.2,0.0156,1766.5,0.0038,30127.0,0.0643,10880.7,0.0232,28340.9,0.0605,139788.7,0.2985,69656.3,0.1487,108590.7,0.2319,331.5,0.0007
2026-06-03,467330.8,25134.0,0.0538,46499.9,0.0995,7352.1,0.0157,1769.3,0.0038,30033.7,0.0643,10931.8,0.0234,28551.8,0.0611,140573.4,0.3008,68676.0,0.147,107484.0,0.23,333.0,0.0007
2026-06-04,474941.8,25638.5,0.054,46155.0,0.0972,7304.7,0.0154,1754.8,0.0037,29749.7,0.0626,10873.5,0.0229,28768.2,0.0606,140895.2,0.2967,77279.3,0.1627,106199.8,0.2236,331.4,0.0007
2026-06-05,467455.5,24999.7,0.0535,45584.9,0.0975,7230.4,0.0155,1708.9,0.0037,29419.2,0.0629,10760.6,0.023,28013.8,0.0599,137088.7,0.2933,77027.5,0.1648,105304.3,0.2253,325.6,0.0007
2026-06-08,436581.9,24227.6,0.0555,44161.5,0.1012,7010.7,0.0161,1652.4,0.0038,28526.4,0.0653,10449.0,0.0239,27124.3,0.0621,104615.9,0.2396,75673.0,0.1733,112831.7,0.2584,317.2,0.0007
2026-06-09,451233.7,25175.2,0.0558,44479.9,0.0986,7014.2,0.0155,1674.6,0.0037,28613.6,0.0634,10463.7,0.0232,28164.7,0.0624,107984.7,0.2393,75591.2,0.1675,121756.1,0.2698,324.3,0.0007
2026-06-10,454359.3,25073.3,0.0552,44530.5,0.098,7083.9,0.0156,1659.6,0.0037,28660.6,0.0631,10577.1,0.0233,28008.1,0.0616,107792.1,0.2372,76112.8,0.1675,124549.4,0.2741,320.4,0.0007
2026-06-11,453862.4,25300.7,0.0557,43971.9,0.0969,6972.9,0.0154,1655.4,0.0036,28257.6,0.0623,10449.5,0.023,28231.6,0.0622,108104.3,0.2382,76056.0,0.1676,124552.7,0.2744,318.5,0.0007
2026-06-12,457702.0,25212.1,0.0551,44308.3,0.0968,7048.1,0.0154,1680.1,0.0037,28520.1,0.0623,10530.1,0.023,28175.6,0.0616,107998.1,0.236,76780.3,0.1678,127135.3,0.2778,322.3,0.0007
2026-06-15,467476.1,26511.6,0.0567,45190.2,0.0967,7184.9,0.0154,1745.4,0.0037,28980.4,0.062,10748.6,0.023,29664.6,0.0635,113156.2,0.2421,76676.6,0.164,127296.0,0.2723,330.7,0.0007
2026-06-16,467165.3,26969.1,0.0577,45117.5,0.0966,7218.9,0.0155,1733.7,0.0037,28842.0,0.0617,10796.7,0.0231,30150.1,0.0645,114919.7,0.246,75357.0,0.1613,125738.5,0.2692,331.2,0.0007
2026-06-17,470677.6,27713.4,0.0589,45120.9,0.0959,7195.4,0.0153,1747.8,0.0037,28742.3,0.0611,10778.9,0.0229,30968.4,0.0658,117477.3,0.2496,74809.3,0.1589,125798.7,0.2673,334.7,0.0007
2026-06-18,487017.5,28520.4,0.0586,45047.2,0.0925,7221.8,0.0148,1769.7,0.0036,28638.7,0.0588,10821.6,0.0222,31559.4,0.0648,119312.1,0.245,84080.4,0.1726,129718.7,0.2664,337.7,0.0007
2026-06-22,494029.6,28909.4,0.0585,45481.6,0.0921,7331.6,0.0148,1788.2,0.0036,28885.3,0.0585,10942.8,0.0222,31999.2,0.0648,120931.0,0.2448,84543.4,0.1711,132882.0,0.269,345.2,0.0007
2026-06-23,487139.7,28218.9,0.0579,44626.0,0.0916,7257.1,0.0149,1766.2,0.0036,28389.9,0.0583,10842.3,0.0223,31254.9,0.0642,118306.8,0.2429,83279.3,0.171,132872.1,0.2728,335.8,0.0007
2026-06-24,498619.8,29133.5,0.0584,44495.8,0.0892,7109.8,0.0143,1822.0,0.0037,28226.3,0.0566,10698.0,0.0215,32337.1,0.0649,121185.9,0.243,82710.1,0.1659,140572.2,0.2819,339.4,0.0007
2026-06-25,503549.9,27920.4,0.0554,49043.7,0.0974,5347.1,0.0106,1723.0,0.0034,31399.6,0.0624,10495.3,0.0208,30224.1,0.06,123345.4,0.245,82322.8,0.1635,141716.2,0.2814,24.2,0.0
2026-06-26,497341.7,27499.8,0.0553,48394.3,0.0973,5364.0,0.0108,1676.1,0.0034,30968.4,0.0623,10457.8,0.021,29723.5,0.0598,121687.5,0.2447,81156.0,0.1632,140402.6,0.2823,23.5,0.0
2026-06-29,513765.7,28158.5,0.0548,48935.1,0.0952,5303.2,0.0103,1725.5,0.0034,31290.8,0.0609,10438.4,0.0203,30438.9,0.0592,123966.7,0.2413,83560.1,0.1626,149935.6,0.2918,24.8,0.0
2026-06-30,519869.2,29009.3,0.0558,49753.8,0.0957,5379.7,0.0103,1759.0,0.0034,31750.7,0.0611,10612.5,0.0204,31401.8,0.0604,127558.0,0.2454,83122.2,0.1599,149509.5,0.2876,25.1,0.0
2026-07-01,523487.7,28769.8,0.055,49781.1,0.0951,5413.3,0.0103,1744.8,0.0033,31789.6,0.0607,10633.4,0.0203,31082.6,0.0594,126671.7,0.242,84701.1,0.1618,152887.1,0.2921,25.6,0.0
2026-07-02,511090.4,27429.2,0.0537,48782.8,0.0954,5283.1,0.0103,1690.5,0.0033,31233.9,0.0611,10340.5,0.0202,29601.8,0.0579,121348.3,0.2374,84148.2,0.1646,151218.0,0.2959,25.5,0.0
2026-07-03,511239.8,26980.5,0.0528,48505.7,0.0949,5171.5,0.0101,1693.1,0.0033,31116.8,0.0609,10175.1,0.0199,29142.6,0.057,119403.6,0.2336,84376.9,0.165,154659.5,0.3025,25.9,0.0001
2026-07-06,511273.0,26783.5,0.0524,48914.0,0.0957,5250.5,0.0103,1685.6,0.0033,31411.0,0.0614,10269.5,0.0201,28888.9,0.0565,118960.7,0.2327,85538.8,0.1673,153556.0,0.3003,25.7,0.0001
