日期,总市值,XIRR
2026-04-13,493890.2,0.0
2026-04-14,498861.4,1.0
2026-04-15,511123.5,1.0
2026-04-16,516510.7,1.0
2026-04-17,513296.3,1.0
2026-04-20,514901.2,1.0
2026-04-21,513904.1,1.0
2026-04-22,516382.9,1.0
2026-04-23,511571.5,0.7409
2026-04-24,514725.0,1.0
2026-04-27,518943.2,1.0
2026-04-28,517421.6,0.9089
2026-04-29,521767.0,1.0
2026-04-30,523783.9,1.0
2026-05-06,531118.2,1.0
2026-05-07,539722.1,1.0
2026-05-08,533937.9,1.0
2026-05-11,541352.3,1.0
2026-05-12,541144.0,1.0
2026-05-13,543547.3,1.0
2026-05-14,536587.1,1.0
2026-05-15,541130.9,0.8245
2026-05-18,535411.8,0.5464
2026-05-19,538331.3,0.6157
2026-05-20,542069.9,0.7092
2026-05-21,534451.3,0.4673
2026-05-22,542603.9,0.6777
2026-05-25,550349.6,0.8312
2026-05-26,548150.1,0.744
2026-05-27,544967.6,0.6395
2026-05-28,544784.9,0.6168
2026-05-29,545312.4,0.6123
2026-06-01,540403.7,0.462
2026-06-02,545148.4,0.5476
2026-06-03,543719.2,0.5054
2026-06-04,541350.1,0.4478
2026-06-05,533318.5,0.2953
2026-06-08,519286.4,0.0713
2026-06-09,525433.5,0.1548
2026-06-10,527446.7,0.1803
2026-06-11,525938.1,0.156
2026-06-12,530559.5,0.2169
2026-06-15,552386.7,0.3716
2026-06-16,552219.9,0.3622
2026-06-17,556016.0,0.4102
2026-06-18,561737.5,0.4867
2026-06-22,567955.4,0.5407
2026-06-23,559700.6,0.4174
2026-06-24,571581.0,0.573
2026-06-25,576253.7,0.6296
2026-06-26,570113.0,0.5333
2026-06-29,587662.4,0.7462
2026-06-30,593900.0,0.8233
2026-07-01,597100.5,0.8557
2026-07-02,585213.4,0.6763
2026-07-03,586427.2,0.6814
2026-07-06,586211.5,0.6471
